iter	Passed	Remaining
0	294	294263
1	436	217576
2	593	197125
3	745	185669
4	926	184365
5	1085	179879
6	1260	178850
7	1426	176871
8	1592	175372
9	1764	174723
10	1955	175828
11	2130	175416
12	2294	174200
13	2454	172871
14	2619	172005
15	2794	171858
16	2983	172501
17	3156	172210
18	3356	173285
19	3528	172873
20	3719	173393
21	3908	173763
22	4086	173594
23	4274	173847
24	4447	173457
25	4634	173627
26	4814	173518
27	4986	173099
28	5159	172767
29	5334	172490
30	5517	172471
31	5697	172349
32	5875	172174
33	6054	172030
34	6225	171659
35	6377	170785
36	6546	170398
37	6712	169925
38	6871	169311
39	7034	168834
40	7195	168299
41	7360	167898
42	7523	167436
43	7695	167195
44	7872	167061
45	8048	166908
46	8237	167027
47	8429	167181
48	8623	167360
49	8802	167240
50	8959	166710
51	9143	166685
52	9333	166770
53	9518	166747
54	9689	166487
55	9919	167211
56	10093	166986
57	10270	166804
58	10455	166756
59	10630	166551
60	10796	166193
61	10969	165958
62	11143	165742
63	11303	165311
64	11461	164873
65	11625	164515
66	11797	164286
67	11961	163940
68	12111	163419
69	12289	163274
70	12455	162971
71	12619	162649
72	12787	162384
73	12994	162606
74	13170	162436
75	13344	162246
76	13512	161974
77	13689	161812
78	13862	161615
79	14034	161399
80	14201	161122
81	14351	160666
82	14504	160252
83	14667	159946
84	14828	159623
85	14977	159178
86	15136	158846
87	15290	158468
88	15471	158362
89	15653	158271
90	15845	158284
91	16011	158024
92	16185	157855
93	16359	157680
94	16522	157397
95	16684	157116
96	16846	156825
97	17012	156586
98	17169	156255
99	17328	155957
100	17482	155609
101	17639	155294
102	17823	155217
103	17987	154971
104	18151	154716
105	18316	154479
106	18475	154195
107	18626	153841
108	18788	153585
109	18962	153426
110	19118	153121
111	19288	152932
112	19459	152750
113	19623	152513
114	19803	152403
115	19975	152230
116	20141	152010
117	20303	151761
118	20470	151551
119	20634	151321
120	20797	151079
121	20950	150777
122	21109	150511
123	21255	150158
124	21411	149879
125	21568	149609
126	21729	149370
127	21881	149067
128	22035	148784
129	22192	148521
130	22354	148288
131	22513	148045
132	22669	147779
133	22836	147586
134	22988	147294
135	23151	147077
136	23353	147109
137	23548	147092
138	23735	147025
139	23902	146829
140	24082	146716
141	24269	146644
142	24439	146464
143	24604	146257
144	24769	146055
145	24932	145836
146	25093	145607
147	25259	145412
148	25435	145270
149	25633	145254
150	25811	145125
151	25995	145026
152	26174	144899
153	26342	144710
154	26498	144458
155	26654	144208
156	26823	144024
157	26991	143842
158	27168	143701
